ID,Colour 1,Colour 2,Colour 3,Episode,Frame
death_palette_79,green,green,grey,Death,79
death_palette_80,blue,blue,brown,Death,80
death_palette_81,blue,blue,pink,Death,81
death_palette_82,maroon,red,orange,Death,82
death_palette_83,maroon,orange,red,Death,83
death_palette_84,maroon,orange,red,Death,84
death_palette_85,purple,purple,brown,Death,85
death_palette_86,grey,black,purple,Death,86
death_palette_87,brown,beige,brown,Death,87
death_palette_88,grey,maroon,black,Death,88
death_palette_89,black,black,black,Death,89
death_palette_90,grey,green,red,Death,90
death_palette_91,black,beige,brown,Death,91
death_palette_92,black,purple,pink,Death,92
death_palette_93,grey,black,purple,Death,93
death_palette_94,grey,green,grey,Death,94
death_palette_95,grey,brown,grey,Death,95
death_palette_96,grey,black,grey,Death,96
death_palette_97,grey,black,red,Death,97
death_palette_98,black,pink,green,Death,98
death_palette_99,black,pink,green,Death,99
death_palette_100,black,red,pink,Death,100
death_palette_101,black,red,grey,Death,101
death_palette_102,black,green,pink,Death,102
death_palette_103,black,green,purple,Death,103
death_palette_104,black,blue,pink,Death,104
death_palette_105,black,blue,pink,Death,105
death_palette_106,grey,red,grey,Death,106
death_palette_107,black,red,blue,Death,107
death_palette_108,black,grey,purple,Death,108
death_palette_109,grey,grey,green,Death,109
death_palette_110,black,grey,green,Death,110
death_palette_111,black,black,black,Death,111
death_palette_112,black,black,black,Death,112
death_palette_113,black,grey,pink,Death,113
death_palette_114,purple,black,blue,Death,114
death_palette_115,purple,black,purple,Death,115
death_palette_116,yellow,black,green,Death,116
death_palette_117,orange,black,purple,Death,117
death_palette_118,purple,black,red,Death,118
death_palette_119,red,green,black,Death,119
death_palette_120,green,black,grey,Death,120
death_palette_121,red,black,green,Death,121
death_palette_122,blue,pink,black,Death,122
death_palette_123,purple,black,blue,Death,123
death_palette_124,purple,black,orange,Death,124
death_palette_125,black,green,pink,Death,125
death_palette_126,blue,black,green,Death,126
death_palette_127,black,grey,blue,Death,127
death_palette_128,green,black,white,Death,128
death_palette_129,grey,brown,grey,Death,129
dreams_palette_0,black,black,black,Dreams,0
dreams_palette_1,black,black,grey,Dreams,1
dreams_palette_2,black,grey,grey,Dreams,2
dreams_palette_3,black,grey,black,Dreams,3
dreams_palette_4,grey,grey,black,Dreams,4
dreams_palette_5,black,grey,grey,Dreams,5
dreams_palette_6,black,orange,black,Dreams,6
dreams_palette_7,black,orange,brown,Dreams,7
dreams_palette_8,grey,black,black,Dreams,8
dreams_palette_9,black,brown,black,Dreams,9
dreams_palette_10,green,black,green,Dreams,10
dreams_palette_11,black,green,green,Dreams,11
dreams_palette_12,black,brown,black,Dreams,12
dreams_palette_13,brown,black,orange,Dreams,13
dreams_palette_14,black,black,brown,Dreams,14
dreams_palette_15,black,black,black,Dreams,15
dreams_palette_16,black,grey,grey,Dreams,16
dreams_palette_17,brown,black,grey,Dreams,17
dreams_palette_18,black,grey,grey,Dreams,18
dreams_palette_19,black,pink,brown,Dreams,19
dreams_palette_20,pink,black,maroon,Dreams,20
dreams_palette_21,brown,black,brown,Dreams,21
dreams_palette_22,black,grey,blue,Dreams,22
dreams_palette_23,grey,black,grey,Dreams,23
dreams_palette_24,black,grey,black,Dreams,24
dreams_palette_25,grey,brown,black,Dreams,25
dreams_palette_26,black,grey,blue,Dreams,26
dreams_palette_27,grey,purple,black,Dreams,27
dreams_palette_28,black,pink,brown,Dreams,28
dreams_palette_29,grey,brown,brown,Dreams,29
dreams_palette_30,grey,grey,black,Dreams,30
dreams_palette_31,white,grey,grey,Dreams,31
dreams_palette_32,white,black,brown,Dreams,32
dreams_palette_33,brown,black,white,Dreams,33
dreams_palette_34,white,black,pink,Dreams,34
dreams_palette_35,white,black,brown,Dreams,35
dreams_palette_36,white,black,pink,Dreams,36
dreams_palette_37,white,black,pink,Dreams,37
dreams_palette_38,yellow,beige,black,Dreams,38
dreams_palette_39,white,brown,black,Dreams,39
dreams_palette_40,green,black,white,Dreams,40
dreams_palette_41,yellow,brown,white,Dreams,41
dreams_palette_42,yellow,yellow,brown,Dreams,42
dreams_palette_43,white,blue,black,Dreams,43
dreams_palette_44,blue,white,orange,Dreams,44
dreams_palette_45,purple,blue,brown,Dreams,45
dreams_palette_46,pink,blue,blue,Dreams,46
dreams_palette_47,blue,purple,red,Dreams,47
dreams_palette_48,pink,green,brown,Dreams,48
dreams_palette_49,green,green,purple,Dreams,49
dreams_palette_50,red,red,brown,Dreams,50
dreams_palette_51,pink,green,green,Dreams,51
dreams_palette_52,grey,blue,maroon,Dreams,52
dreams_palette_53,blue,blue,maroon,Dreams,53
dreams_palette_54,white,black,green,Dreams,54
dreams_palette_55,white,black,green,Dreams,55
dreams_palette_56,purple,purple,lilac,Dreams,56
dreams_palette_57,brown,grey,grey,Dreams,57
dreams_palette_58,grey,brown,yellow,Dreams,58
dreams_palette_59,grey,grey,brown,Dreams,59
dreams_palette_60,brown,grey,beige,Dreams,60
dreams_palette_61,pink,grey,grey,Dreams,61
dreams_palette_62,black,blue,grey,Dreams,62
dreams_palette_63,black,purple,black,Dreams,63
dreams_palette_64,blue,blue,black,Dreams,64
dreams_palette_65,black,pink,maroon,Dreams,65
dreams_palette_66,lilac,grey,black,Dreams,66
dreams_palette_67,pink,black,grey,Dreams,67
dreams_palette_68,black,grey,purple,Dreams,68
dreams_palette_69,grey,black,lilac,Dreams,69
dreams_palette_70,purple,black,brown,Dreams,70
dreams_palette_71,brown,black,brown,Dreams,71
dreams_palette_72,blue,black,lilac,Dreams,72
dreams_palette_73,black,beige,brown,Dreams,73
dreams_palette_74,grey,black,blue,Dreams,74
dreams_palette_75,blue,black,grey,Dreams,75
dreams_palette_76,grey,grey,brown,Dreams,76
dreams_palette_77,blue,blue,brown,Dreams,77
dreams_palette_78,black,green,green,Dreams,78
